LAT_DEG,LONG_DEG,As,Al,Cd,Cr,Cu,Fe,Ni,Pb,Zn
26.479,88.514,1,7,0.28,< 0.5,1,60,1.1,2.58,10
25.7,88.5,2.2,2,0.19,< 0.5,< 1,6210,1,0.5,22
24.088,90.17,1.1,14,< 0.02,< 0.5,3,1480,11.6,0.43,20
26.083,88.279,1.1,4,0.27,< 0.5,< 1,240,1.4,2.84,58
26.054,88.533,< 0.5,4,0.12,< 0.5,< 1,1380,0.8,0.78,14
24.91,89.946,1.7,7,< 0.02,< 0.5,< 1,260,2.4,2.95,66
25.903,88.6,< 0.5,2,0.12,< 0.5,< 1,170,1,0.65,17
25.901,88.254,0.8,4,0.66,< 0.5,< 1,293,1.7,1.23,NA
25.665,88.652,< 0.5,8,0.16,0.7,4,27,0.9,2.37,14
25.653,88.915,0.8,4,0.14,< 0.5,< 1,1650,1.3,0.97,23
25.288,89.021,0.9,3,0.08,< 0.5,< 1,224,3.3,0.16,21
26.1,88.8,< 0.5,4,0.06,< 0.5,< 1,356,0.7,0.24,13
25.9,88.8,1.9,3,0.02,< 0.5,< 1,837,0.8,0.33,3
26.203,89.11,< 0.5,16,0.39,2.6,1,271,1.2,7.58,12
25.931,88.838,< 0.5,3,0.06,< 0.5,< 1,18,0.5,0.35,11
25.752,89.253,< 0.5,4,0.15,< 0.5,1,988,2.4,0.71,96
25.913,89.436,4,4,0.09,0.6,1,9070,1.3,1.31,20
25.965,89.671,< 0.5,4,0.2,< 0.5,1,182,3,0.8,17
25.653,89.623,0.6,5,0.08,< 0.5,< 1,2130,2,0.96,10
25.532,89.446,< 0.5,6,0.07,< 0.5,< 1,84,1.5,1.06,NA
25.318,89.55,< 0.5,3,< 0.02,< 0.5,< 1,54,1.1,0.34,7
25.134,89.387,< 0.5,4,0.05,< 0.5,2,16,1.5,0.48,7
25.109,89.036,< 0.5,2,0.16,< 0.5,< 1,976,1.6,0.23,91
24.804,88.969,< 0.5,3,0.11,< 0.5,1,40,7.5,0.39,42
24.933,89.348,< 0.5,15,0.08,< 0.5,< 1,23,1.1,0.58,19
